epoch,step,train_loss_epoch,train_loss_step,val_loss
0,8,,,2.138977289199829
0,8,2.128175735473633,,
1,9,,2.1051650047302246,
1,17,,,2.147721529006958
1,17,2.1095454692840576,,
2,19,,2.116569757461548,
2,26,,,2.0589699745178223
2,26,2.096729278564453,,
3,29,,2.1151015758514404,
3,35,,,2.0374205112457275
3,35,2.086237907409668,,
4,39,,2.0981831550598145,
4,44,,,2.031348466873169
4,44,2.0846946239471436,,
5,49,,2.0875847339630127,
5,53,,,2.0272068977355957
5,53,2.075697660446167,,
6,59,,2.093284845352173,
6,62,,,2.0252861976623535
6,62,2.0693612098693848,,
7,69,,2.087744951248169,
7,71,,,2.024015426635742
7,71,2.0670230388641357,,
8,79,,2.0952727794647217,
8,80,,,2.0245308876037598
8,80,2.068889617919922,,
9,89,,1.3943957090377808,
9,89,,,2.021488666534424
9,89,2.066655158996582,,
10,98,,,2.0201826095581055
10,98,2.0651516914367676,,
11,99,,2.0840156078338623,
11,107,,,2.0181071758270264
11,107,2.061957359313965,,
12,109,,2.0774755477905273,
12,116,,,2.0166428089141846
12,116,2.062516689300537,,
13,119,,2.086285352706909,
13,125,,,2.013545274734497
13,125,2.059415340423584,,
14,129,,2.069179058074951,
14,134,,,2.0042340755462646
14,134,2.0600974559783936,,
15,139,,2.0670056343078613,
15,143,,,2.005734920501709
15,143,2.045518159866333,,
16,149,,2.0415170192718506,
16,152,,,2.1220004558563232
16,152,2.029660701751709,,
17,159,,1.799796223640442,
17,161,,,2.489532709121704
17,161,1.9622000455856323,,
18,169,,1.6266140937805176,
18,170,,,2.8543529510498047
18,170,1.8766069412231445,,
19,179,,1.195037841796875,
19,179,,,2.6759886741638184
19,179,1.8749265670776367,,
20,188,,,2.51254940032959
20,188,1.8224867582321167,,
21,189,,1.8153988122940063,
21,197,,,2.53316593170166
21,197,1.7562711238861084,,
22,199,,1.6950671672821045,
22,206,,,2.6420743465423584
22,206,1.7357449531555176,,
23,209,,1.8625309467315674,
23,215,,,2.686981201171875
23,215,1.7903043031692505,,
24,219,,1.7189879417419434,
24,224,,,2.7369437217712402
24,224,1.6993402242660522,,
25,229,,1.5902209281921387,
25,233,,,2.7627716064453125
25,233,1.641085147857666,,
26,239,,1.6193649768829346,
26,242,,,2.933384895324707
26,242,1.5983408689498901,,
27,249,,1.4259904623031616,
27,251,,,2.858476400375366
27,251,1.5840476751327515,,
28,259,,1.7542879581451416,
28,260,,,2.884491443634033
28,260,1.588465690612793,,
29,269,,1.174962043762207,
29,269,,,2.8098702430725098
29,269,1.6558780670166016,,
30,278,,,2.8400816917419434
30,278,1.581729769706726,,
31,279,,1.5477259159088135,
31,287,,,2.860109806060791
31,287,1.577066421508789,,
32,289,,1.8568519353866577,
32,296,,,2.8762810230255127
32,296,1.5405582189559937,,
33,299,,1.3768031597137451,
33,305,,,2.930819511413574
33,305,1.4997620582580566,,
34,309,,1.5189989805221558,
34,314,,,2.9656970500946045
34,314,1.5327997207641602,,
35,319,,1.3738394975662231,
35,323,,,2.896172285079956
35,323,1.507208228111267,,
36,329,,1.8174796104431152,
36,332,,,2.9990687370300293
36,332,1.4285722970962524,,
37,339,,1.2089580297470093,
37,341,,,3.200005531311035
37,341,1.3904823064804077,,
38,349,,1.2433394193649292,
38,350,,,3.2388432025909424
38,350,1.3813587427139282,,
39,359,,0.5423157215118408,
39,359,,,3.23422908782959
39,359,1.5044366121292114,,
40,368,,,3.142023801803589
40,368,1.4494283199310303,,
41,369,,1.2959136962890625,
41,377,,,3.037925958633423
41,377,1.4351106882095337,,
42,379,,1.331958532333374,
42,386,,,3.0021767616271973
42,386,1.3693568706512451,,
43,389,,1.3697502613067627,
43,395,,,2.9551596641540527
43,395,1.4575083255767822,,
44,399,,1.1641842126846313,
44,404,,,3.0667152404785156
44,404,1.371262788772583,,
45,409,,1.3592422008514404,
45,413,,,3.1430368423461914
45,413,1.416749119758606,,
46,419,,1.1869713068008423,
46,422,,,3.1291115283966064
46,422,1.3727514743804932,,
47,429,,1.190757393836975,
47,431,,,3.1568663120269775
47,431,1.4301865100860596,,
