epoch,step,train_loss_epoch,train_loss_step,val_loss
0,8,,,2.1245310306549072
0,8,2.1868560314178467,,
1,9,,2.247830390930176,
1,17,,,2.0414252281188965
1,17,2.139691114425659,,
2,19,,2.1319475173950195,
2,26,,,2.0329489707946777
2,26,2.099299669265747,,
3,29,,2.104116916656494,
3,35,,,2.0344574451446533
3,35,2.0870091915130615,,
4,39,,2.08799409866333,
4,44,,,2.037508487701416
4,44,2.0809149742126465,,
5,49,,2.085188627243042,
5,53,,,2.0293242931365967
5,53,2.071728229522705,,
6,59,,2.084336519241333,
6,62,,,2.0253355503082275
6,62,2.0685150623321533,,
7,69,,2.0840771198272705,
7,71,,,2.0236101150512695
7,71,2.0681238174438477,,
8,79,,2.086559295654297,
8,80,,,2.0222063064575195
8,80,2.066842555999756,,
9,89,,1.3942316770553589,
9,89,,,2.0218286514282227
9,89,2.065413236618042,,
10,98,,,2.020754337310791
10,98,2.0649688243865967,,
11,99,,2.0890486240386963,
11,107,,,2.0196917057037354
11,107,2.0636255741119385,,
12,109,,2.0810835361480713,
12,116,,,2.0188353061676025
12,116,2.063007116317749,,
13,119,,2.082923650741577,
13,125,,,2.019308090209961
13,125,2.064215660095215,,
14,129,,2.082529067993164,
14,134,,,2.0171396732330322
14,134,2.062251329421997,,
15,139,,2.0921401977539062,
15,143,,,2.0129787921905518
15,143,2.0623087882995605,,
16,149,,2.082160472869873,
16,152,,,2.0079739093780518
16,152,2.0608749389648438,,
17,159,,2.086801528930664,
17,161,,,1.9913030862808228
17,161,2.053779125213623,,
18,169,,2.1199307441711426,
18,170,,,1.9991737604141235
18,170,2.0439281463623047,,
19,179,,1.3636908531188965,
19,179,,,2.117591142654419
19,179,2.0077056884765625,,
20,188,,,2.4229912757873535
20,188,1.9554316997528076,,
21,189,,1.6329121589660645,
21,197,,,2.825730562210083
21,197,1.8501933813095093,,
22,199,,2.2258639335632324,
22,206,,,2.5189061164855957
22,206,1.8699737787246704,,
23,209,,1.9528203010559082,
23,215,,,2.5122578144073486
23,215,1.8116649389266968,,
24,219,,1.9138730764389038,
24,224,,,2.607672691345215
24,224,1.812172532081604,,
25,229,,1.4772751331329346,
25,233,,,2.822641372680664
25,233,1.7443954944610596,,
26,239,,1.6107237339019775,
26,242,,,2.5567665100097656
26,242,1.754896640777588,,
27,249,,1.797871708869934,
27,251,,,2.455023765563965
27,251,1.8196288347244263,,
28,259,,1.6900053024291992,
28,260,,,2.332183599472046
28,260,1.738054633140564,,
29,269,,1.1944050788879395,
29,269,,,2.4323625564575195
29,269,1.770201563835144,,
30,278,,,2.4886457920074463
30,278,1.7161859273910522,,
31,279,,1.5018564462661743,
31,287,,,2.7328574657440186
31,287,1.6236484050750732,,
32,289,,1.6425540447235107,
32,296,,,2.6570281982421875
32,296,1.6089322566986084,,
33,299,,1.55330491065979,
33,305,,,2.57698130607605
33,305,1.5920915603637695,,
34,309,,1.39821195602417,
34,314,,,2.59511137008667
34,314,1.611512303352356,,
35,319,,1.7435745000839233,
35,323,,,2.9769461154937744
35,323,1.5459506511688232,,
36,329,,1.513251781463623,
36,332,,,3.196251392364502
36,332,1.6067683696746826,,
