epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,0.0,
0,19,,0.0,
0,29,,0.0,
0,39,,0.0,
0,49,,0.0,
0,59,,0.0,
0,69,,0.0,
0,69,,,0.0
0,69,0.0,,
1,79,,0.0,
1,89,,0.0,
1,99,,0.0,
1,109,,0.0,
1,119,,0.0,
1,129,,0.0,
1,139,,0.0,
1,139,,,0.0
1,139,0.0,,
2,149,,0.0,
2,159,,0.0,
2,169,,0.0,
2,179,,0.0,
2,189,,0.0,
2,199,,0.0,
2,209,,0.0,
2,209,,,0.0
2,209,0.0,,
3,219,,0.0,
3,229,,0.0,
3,239,,0.0,
3,249,,0.0,
3,259,,0.0,
3,269,,0.0,
3,279,,0.0,
3,279,,,0.0
3,279,0.0,,
4,289,,0.0,
4,299,,0.0,
4,309,,0.0,
4,319,,0.0,
4,329,,0.0,
4,339,,0.0,
4,349,,0.0,
4,349,,,0.0
4,349,0.0,,
5,359,,0.0,
5,369,,0.0,
5,379,,0.0,
5,389,,0.0,
5,399,,0.0,
5,409,,0.0,
5,419,,0.0,
5,419,,,0.0
5,419,0.0,,
6,429,,0.0,
6,439,,0.0,
6,449,,0.0,
6,459,,0.0,
6,469,,0.0,
6,479,,0.0,
6,489,,0.0,
6,489,,,0.0
6,489,0.0,,
7,499,,0.0,
7,509,,0.0,
7,519,,0.0,
7,529,,0.0,
7,539,,0.0,
7,549,,0.0,
7,559,,0.0,
7,559,,,0.0
7,559,0.0,,
8,569,,0.0,
8,579,,0.0,
8,589,,0.0,
8,599,,0.0,
8,609,,0.0,
8,619,,0.0,
8,629,,0.0,
8,629,,,0.0
8,629,0.0,,
9,639,,0.0,
9,649,,0.0,
9,659,,0.0,
9,669,,0.0,
9,679,,0.0,
9,689,,0.0,
9,699,,0.0,
9,699,,,0.0
9,699,0.0,,
10,709,,0.0,
10,719,,0.0,
10,729,,0.0,
10,739,,0.0,
10,749,,0.0,
10,759,,0.0,
10,769,,0.0,
10,769,,,0.0
10,769,0.0,,
11,779,,0.0,
11,789,,0.0,
11,799,,0.0,
11,809,,0.0,
11,819,,0.0,
11,829,,0.0,
11,839,,0.0,
11,839,,,0.0
11,839,0.0,,
12,849,,0.0,
12,859,,0.0,
12,869,,0.0,
12,879,,0.0,
12,889,,0.0,
12,899,,0.0,
12,909,,0.0,
12,909,,,0.0
12,909,0.0,,
13,919,,0.0,
13,929,,0.0,
13,939,,0.0,
13,949,,0.0,
13,959,,0.0,
13,969,,0.0,
13,979,,0.0,
13,979,,,0.0
13,979,0.0,,
14,989,,0.0,
14,999,,0.0,
14,1009,,0.0,
14,1019,,0.0,
14,1029,,0.0,
14,1039,,0.0,
14,1049,,0.0,
14,1049,,,0.0
14,1049,0.0,,
15,1059,,0.0,
15,1069,,0.0,
15,1079,,0.0,
15,1089,,0.0,
15,1099,,0.0,
15,1109,,0.0,
15,1119,,0.0,
15,1119,,,0.0
15,1119,0.0,,
16,1129,,0.0,
16,1139,,0.0,
16,1149,,0.0,
16,1159,,0.0,
16,1169,,0.0,
16,1179,,0.0,
16,1189,,0.0,
16,1189,,,0.0
16,1189,0.0,,
17,1199,,0.0,
17,1209,,0.0,
17,1219,,0.0,
17,1229,,0.0,
17,1239,,0.0,
17,1249,,0.0,
17,1259,,0.0,
17,1259,,,0.0
17,1259,0.0,,
18,1269,,0.0,
18,1279,,0.0,
18,1289,,0.0,
18,1299,,0.0,
18,1309,,0.0,
18,1319,,0.0,
18,1329,,0.0,
18,1329,,,0.0
18,1329,0.0,,
19,1339,,0.0,
19,1349,,0.0,
19,1359,,0.0,
19,1369,,0.0,
19,1379,,0.0,
19,1389,,0.0,
19,1399,,0.0,
19,1399,,,0.0
19,1399,0.0,,
