epoch,step,train_loss_epoch,train_loss_step,val_loss
0,8,,,2.090824842453003
0,8,2.143561601638794,,
1,9,,2.150554895401001,
1,17,,,2.0795083045959473
1,17,2.1173646450042725,,
2,19,,2.1149141788482666,
2,26,,,2.064155101776123
2,26,2.094303607940674,,
3,29,,2.112804412841797,
3,35,,,2.0542314052581787
3,35,2.0894150733947754,,
4,39,,2.084980010986328,
4,44,,,2.037465810775757
4,44,2.078090190887451,,
5,49,,2.1087069511413574,
5,53,,,2.022716999053955
5,53,2.076519012451172,,
6,59,,2.0917892456054688,
6,62,,,2.021672010421753
6,62,2.0732645988464355,,
7,69,,2.081733226776123,
7,71,,,2.0233399868011475
7,71,2.0663938522338867,,
8,79,,2.0873053073883057,
8,80,,,2.0226051807403564
8,80,2.0664429664611816,,
9,89,,1.3880804777145386,
9,89,,,2.022318124771118
9,89,2.065540075302124,,
10,98,,,2.0222368240356445
10,98,2.0649774074554443,,
11,99,,2.08369779586792,
11,107,,,2.0223326683044434
11,107,2.063732862472534,,
12,109,,2.0869078636169434,
12,116,,,2.0195353031158447
12,116,2.063579797744751,,
13,119,,2.0829930305480957,
13,125,,,2.016606569290161
13,125,2.0618882179260254,,
14,129,,2.081691265106201,
14,134,,,2.0136818885803223
14,134,2.0620627403259277,,
15,139,,2.077213764190674,
15,143,,,2.005392074584961
15,143,2.058485746383667,,
16,149,,2.0781784057617188,
16,152,,,1.9857474565505981
16,152,2.056037187576294,,
17,159,,2.0816798210144043,
17,161,,,1.974368929862976
17,161,2.0534603595733643,,
18,169,,1.9947423934936523,
18,170,,,2.003065824508667
18,170,2.0380051136016846,,
19,179,,1.1224515438079834,
19,179,,,2.201087713241577
19,179,1.9911209344863892,,
20,188,,,2.560263156890869
20,188,1.9390463829040527,,
21,189,,1.8508341312408447,
21,197,,,2.4365015029907227
21,197,1.8910614252090454,,
22,199,,1.7704803943634033,
22,206,,,2.5048251152038574
22,206,1.8590997457504272,,
23,209,,1.774346113204956,
23,215,,,2.5521819591522217
23,215,1.8263263702392578,,
24,219,,1.8234889507293701,
24,224,,,2.747697353363037
24,224,1.8096303939819336,,
25,229,,1.618628978729248,
25,233,,,2.684258222579956
25,233,1.7547264099121094,,
26,239,,1.8174570798873901,
26,242,,,2.7183406352996826
26,242,1.6879812479019165,,
27,249,,1.7765660285949707,
27,251,,,2.525811195373535
27,251,1.7501466274261475,,
28,259,,1.9841930866241455,
28,260,,,2.5042030811309814
28,260,1.7212467193603516,,
29,269,,0.6571189165115356,
29,269,,,2.699082136154175
29,269,1.6560969352722168,,
30,278,,,2.8478293418884277
30,278,1.6008082628250122,,
31,279,,1.4490573406219482,
31,287,,,3.089047431945801
31,287,1.6000903844833374,,
32,289,,1.6197201013565063,
32,296,,,3.0817689895629883
32,296,1.5503333806991577,,
33,299,,1.552223563194275,
33,305,,,3.02506160736084
33,305,1.4785314798355103,,
34,309,,1.3683078289031982,
34,314,,,3.125521421432495
34,314,1.549838900566101,,
35,319,,1.482259750366211,
35,323,,,2.9000439643859863
35,323,1.5670664310455322,,
36,329,,1.623192310333252,
36,332,,,3.011664628982544
36,332,1.5134384632110596,,
