tag,adv_end,warmup,prox,cons,fold,phase,young_ci,old_ci,gap,src
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,4,before,0.25,0.5226,0.2726,slurm-13069602_0.out
e1.0_w3_p1e-3_c1e-2,1.0,3,1e-3,1e-2,4,after,0.25,0.5185,0.2685,slurm-13069602_0.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,4,before,0.25,0.5226,0.2726,slurm-13069602_1.out
e1.0_w1_p1e-3_c5e-3,1.0,1,1e-3,5e-3,4,after,0.25,0.5206,0.2706,slurm-13069602_1.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,4,before,0.25,0.5226,0.2726,slurm-13069602_2.out
e0.5_w3_p5e-4_c1e-2,0.5,3,5e-4,1e-2,4,after,0.25,0.5185,0.2685,slurm-13069602_2.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,4,before,0.25,0.5226,0.2726,slurm-13069602_3.out
e0.5_w1_p5e-4_c5e-3,0.5,1,5e-4,5e-3,4,after,0.25,0.5185,0.2685,slurm-13069602_3.out
