epoch,step,train_loss_epoch,train_loss_step,val_loss
0,8,,,2.0734801292419434
0,8,2.150909423828125,,
1,9,,2.093557834625244,
1,17,,,2.0869884490966797
1,17,2.116666078567505,,
2,19,,2.111572265625,
2,26,,,2.0587711334228516
2,26,2.102215051651001,,
3,29,,2.09537672996521,
3,35,,,2.0322608947753906
3,35,2.086437225341797,,
4,39,,2.1202826499938965,
4,44,,,2.029207706451416
4,44,2.0816490650177,,
5,49,,2.0911827087402344,
5,53,,,2.027719736099243
5,53,2.0730698108673096,,
6,59,,2.0913186073303223,
6,62,,,2.0315794944763184
6,62,2.0715341567993164,,
7,69,,2.090259552001953,
7,71,,,2.0234766006469727
7,71,2.0713586807250977,,
8,79,,2.084961414337158,
8,80,,,2.010453701019287
8,80,2.0645954608917236,,
9,89,,1.388105034828186,
9,89,,,1.9951847791671753
9,89,2.059309720993042,,
10,98,,,1.9977091550827026
10,98,2.045137405395508,,
11,99,,2.1565349102020264,
11,107,,,2.100179672241211
11,107,2.0329198837280273,,
12,109,,1.9489431381225586,
12,116,,,2.116539716720581
12,116,2.0242364406585693,,
13,119,,1.9632298946380615,
13,125,,,2.211422920227051
13,125,1.9969490766525269,,
14,129,,2.127063512802124,
14,134,,,2.308020830154419
14,134,1.9279240369796753,,
15,139,,1.962451457977295,
15,143,,,2.491429090499878
15,143,1.9316892623901367,,
16,149,,1.6767101287841797,
16,152,,,2.421734571456909
16,152,1.8195525407791138,,
17,159,,1.6464273929595947,
17,161,,,2.364522933959961
17,161,1.8196099996566772,,
18,169,,1.6125880479812622,
18,170,,,2.384464979171753
18,170,1.798008680343628,,
19,179,,1.0212631225585938,
19,179,,,2.446704864501953
19,179,1.7495924234390259,,
20,188,,,2.3173789978027344
20,188,1.7676639556884766,,
21,189,,1.821666955947876,
21,197,,,2.326752185821533
21,197,1.744530200958252,,
22,199,,1.8080413341522217,
22,206,,,2.4859824180603027
22,206,1.6782690286636353,,
23,209,,1.507103681564331,
23,215,,,2.4862029552459717
23,215,1.6533114910125732,,
24,219,,1.6798665523529053,
24,224,,,2.7534842491149902
24,224,1.576818585395813,,
25,229,,1.409481167793274,
25,233,,,2.6843786239624023
25,233,1.6088472604751587,,
26,239,,1.4107177257537842,
26,242,,,2.493600606918335
26,242,1.624944806098938,,
27,249,,1.8448705673217773,
27,251,,,2.8165860176086426
27,251,1.5588414669036865,,
28,259,,1.524501919746399,
28,260,,,2.557560682296753
28,260,1.566351056098938,,
29,269,,1.3049356937408447,
29,269,,,2.6674416065216064
29,269,1.6075388193130493,,
30,278,,,2.493579387664795
30,278,1.6196248531341553,,
31,279,,1.285463571548462,
31,287,,,2.655017375946045
31,287,1.5390896797180176,,
32,289,,1.5915296077728271,
32,296,,,2.690002918243408
32,296,1.4620884656906128,,
33,299,,1.3801696300506592,
33,305,,,2.698923110961914
33,305,1.5210720300674438,,
34,309,,1.3411777019500732,
34,314,,,2.7132678031921387
34,314,1.4764776229858398,,
35,319,,1.4715960025787354,
35,323,,,2.8498501777648926
35,323,1.3994392156600952,,
36,329,,1.3012378215789795,
36,332,,,3.1215827465057373
36,332,1.5560779571533203,,
37,339,,1.4079008102416992,
37,341,,,3.1142313480377197
37,341,1.4152543544769287,,
38,349,,1.466224193572998,
38,350,,,2.931779146194458
38,350,1.5527583360671997,,
39,359,,1.0156471729278564,
39,359,,,2.988673686981201
39,359,1.5008327960968018,,
40,368,,,3.124194622039795
40,368,1.391096591949463,,
41,369,,1.6967926025390625,
41,377,,,3.017982006072998
41,377,1.486143708229065,,
42,379,,1.630144715309143,
42,386,,,3.0291695594787598
42,386,1.450108289718628,,
43,389,,1.3097350597381592,
43,395,,,3.087106704711914
43,395,1.422333002090454,,
44,399,,1.191404104232788,
44,404,,,3.018094301223755
44,404,1.4041152000427246,,
45,409,,1.3150229454040527,
45,413,,,3.2179367542266846
45,413,1.3005272150039673,,
46,419,,1.3093217611312866,
46,422,,,3.1488964557647705
46,422,1.4144443273544312,,
47,429,,1.4233546257019043,
47,431,,,3.245375871658325
47,431,1.3904222249984741,,
48,439,,1.378519058227539,
48,440,,,3.2882730960845947
48,440,1.2823026180267334,,
49,449,,1.0443224906921387,
49,449,,,3.2719738483428955
49,449,1.4225547313690186,,
50,458,,,3.176812171936035
50,458,1.333445429801941,,
51,459,,1.7992212772369385,
51,467,,,3.301787853240967
51,467,1.3877061605453491,,
52,469,,1.5943756103515625,
52,476,,,3.250985622406006
52,476,1.3610962629318237,,
53,479,,1.4596259593963623,
53,485,,,3.3776347637176514
53,485,1.281854510307312,,
54,489,,1.3168654441833496,
54,494,,,3.5016884803771973
54,494,1.3338383436203003,,
55,499,,1.3922607898712158,
55,503,,,3.6188247203826904
55,503,1.3353222608566284,,
56,509,,1.1603991985321045,
56,512,,,3.6245343685150146
56,512,1.2855852842330933,,
57,519,,1.3772826194763184,
57,521,,,3.6309962272644043
57,521,1.3263860940933228,,
58,529,,1.200286865234375,
58,530,,,3.756042957305908
58,530,1.2575143575668335,,
59,539,,0.450364887714386,
59,539,,,3.7678544521331787
59,539,1.269615650177002,,
60,548,,,3.695614814758301
60,548,1.2521989345550537,,
61,549,,1.6122127771377563,
61,557,,,3.7351481914520264
61,557,1.3169313669204712,,
62,559,,1.1576857566833496,
62,566,,,3.788344144821167
62,566,1.2791801691055298,,
63,569,,1.5594929456710815,
63,575,,,3.69551157951355
63,575,1.2824784517288208,,
64,579,,1.198659896850586,
64,584,,,3.6781091690063477
64,584,1.3056215047836304,,
65,589,,1.2646663188934326,
65,593,,,3.811293840408325
65,593,1.262406587600708,,
66,599,,1.1422004699707031,
66,602,,,3.8090920448303223
66,602,1.2766679525375366,,
67,609,,1.4776697158813477,
67,611,,,3.822288751602173
67,611,1.2565244436264038,,
68,619,,1.4262263774871826,
68,620,,,3.8494668006896973
68,620,1.2251108884811401,,
69,629,,0.408346563577652,
69,629,,,3.931502103805542
69,629,1.2796638011932373,,
70,638,,,3.9637749195098877
