fold,split,old,young
0,train,0.5428571428571428,0.45714285714285713
0,val,0.4594594594594595,0.5405405405405406
1,train,0.5214285714285715,0.4785714285714286
1,val,0.7027027027027027,0.2972972972972973
2,train,0.55,0.45
2,val,0.43243243243243246,0.5675675675675675
3,train,0.5352112676056338,0.4647887323943662
3,val,0.4857142857142857,0.5142857142857142
4,train,0.5205479452054794,0.4794520547945205
4,val,0.5483870967741935,0.45161290322580644
